domain,ransomwareGroup,timestamp,lockbitURL,domainCountry,domainDescription
parkhomeassist.co.uk,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/k0lo7wLoXQR2dorl65c9c60a036aa,UK,Park Home Assist: Park Home Insurance SpecialistsPark Home Assistparkhomeassist.co.ukPark Home Assist is one of the UK's leading providers of residential park and leisure lodge insurance
grotonschools.org,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/AU7D2juS0OMZmtGU65c9c66df16cf,US,"grotonschools.orgGroton Public Schools (GPS, Groton School District) is a school district in New London County, Connecticut based in the city of Groton, Connecticut, United States. The Groton Public School District services approximately 4,000 stud..."
isspol.gov,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/UKqqr5Qjjicf2LNV65c9cbfb9bcec,EC,ISSPOL – Somos el nuevo ISSPOL
lyon.co.uk,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/OU4Z3V6YLcbQjbkM65c9cedb430d0,UK,"ABOUT LYON EQUIPMENTWhere did Lyon come from?Way back in 1965, Ben Lyon, aided by engineer brother Graham, started making caving ladders. The name 'Lyon Ladders' was registered in 1973.In the same year Ben, with Mike Meredith, took a party of..."
dienerprecisionpumps.com,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/QaocCvlWZxmBJRQH65c9d034f2800,CH,"More than 25 years of experience in design, engineering and quality production of precision metering and micro gear pumps"
envie.org,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/9ixzFBi7eDgHqMca65c9d2065b6d3,FR,"Réseau ENVIE: Site de la Fédération Envie https://www.envie.org Bienvenue sur le site officiel du réseau et de la Fédération Envie ! Créé en 1984, Envie est un pionnier de l'économie circulaire et participe"
sealco-leb.com,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/9f9VkCijWouWxqL865c9d2b71a498,LB,"On January 1st 2010, SEALCO (Shaker Electronics and Appliances Lebanon Co), started its operation in Lebanon as the new authorized distributor for LG Consumer Electronics and Appliances."
camarotto.it,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/1gDJyKlXq9IUSEmk65c9d329ec535,IT,camarotto.it
paltertonprimary.co.uk,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/PhN7AHMuouQ2uIbl65c9d3a182c71,UK,Palterton Primary School
fidcornelis.be,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/tvEmpPOMW8QObXYs65c9d73f9fba8,BE,"Fiduciaire Cornelis & Budts Informatie Bisschoppenhoflaan 384 bus 3, 2100 Antwerpen"
plexustelerad.com,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/cVHf5UW3MERAnImn65c9dca114fab,US,PLEXUSTELERAD.COM
cabc.com.ar,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/b1TT8xj4VQK9qSsh65c9dd63d5107,AR,Cámara Arbitral de la Bolsa de Cereales
textiles.org.tw,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/33rl4kKfXsJgmJgr65c9ddd1d3379,TW,Taiwan Textiles-Sustainable Innovation - 紡拓會Textile Export Promotion Project by. Taiwan Textile Federation
silverairways.com,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/xqyPQWGiMJCbRQIL65c9def82fc98,BS,"Silver Airways is a leading regional U.S. airline operating flights between gateways in Florida, the Southeast and The Bahamas. Silver Airways, affiliates of Versa Capital, is headquartered in Fort Lauderdale, FL. The Silver Airways fleet is comp..."
lacolline-skincare.com,lockbit3,11/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/T3BhCgcRIXnemGdO65c8756be887a,CH,"We have put into our products everything we value in Switzerland: a world-renowned research network in cellular biology, the diversity of Alpine nature, along with the valued and time-honored practices of precision, efficiency and safety."
aisg-online.com,lockbit3,10/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/nVcNf2UAP5WPd8pQ65c746cb40001,US,"American Integrated Security Group (AISG) specializes in the design and deployment of open platform integrated systems including IP video surveillance, access control and security intrusion, perimeter protection and a full range of related wireless s..."
verdimed.es,lockbit3,10/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/tBzbvhGfLWAHjg5U65c6251c85229,ES,"In the eighties, from a company with extensive experience in agriculture and production in Valencia, Verdimed was born to expand marketing into the vegetable sector. At the end of this decade, in an effort to benefit from the climate for crops, we mo..."
water.cc,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/P1gV6eqQA7lTtiDp65c5380f3c4ee,US,"Living Water InternationalPursuing the physical, spiritual, and social flourishing of all people who lack safe water, sanitation, and hygiene through the global Christian community."
magi-erp.com,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/zIOdcWiL4wpCn2As65b3f3e26f89e,US,"MAGI develops and supports high quality ERP business solutions for small to mid-sized manufacturers. MAGI has been developing software solutions since 1985 and has installations worldwide. Our premier product, WinMAGI, is a world class manufacturing..."
alfiras.com,lockbit3,09/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/01I4cQYT8sOKxfoF65c63af67e2fd,AE,"2tb dataEstablished in 1988, Al Firas is a leading contracting company based in Abu Dhabi. As a trusted and known contractor, Al Firas delivers sustainable projects of high quality, including High Rise Commercial and Residential Buildings, School..."
